	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj																																
TIGR00875	2.102227448	1.118402409	2.620982024	0.426711209	0.669589685	0.999533006	Energy metabolism	Pentose phosphate pathway	fsa_talC_mipB	"fructose-6-phosphate aldolase, TalC/MipB family"	fsa	4.1.2.-	"This HMM represents a family that includes the E. coli transaldolase homologs TalC and MipB, both shown to be fructose-6-phosphate aldolases rather than transaldolases as previously thought. It is related to but distinct from the transaldolase family of E. coli TalA and TalB. The member from Bacillus subtilis becomes phosphorylated during early stationary phase but not during exponential growth."																									
TIGR00614	5.111739256	-0.413451502	2.056949799	-0.201002233	0.840696828	0.999533006	DNA metabolism	"DNA replication, recombination, and repair"	recQ_fam	"ATP-dependent DNA helicase, RecQ family"	NA	3.6.4.12	"All proteins in this family for which functions are known are 3-5 DNA-DNA helicases. This family is based on the phylogenomic analysis of JA Eisen (1999, Ph.D. Thesis, Stanford University)."																									
TIGR01343	4.533986375	2.4725263	1.773064972	1.394492779	0.163168848	0.999533006	NA	NA	hacA_fam	homoaconitate hydratase family protein	NA	NA	"This HMM represents a subfamily of proteins consisting of aconitase, homoaconitase, 3-isopropylmalate dehydratase, and uncharacterized proteins. The majority of the members of this family have been designated as 3-isopropylmalate dehydratase large subunit (LeuC) in microbial genome annotation, but the only characterized member is Thermus thermophilus homoaconitase, an enzyme of a non-aspartate pathway of Lys biosynthesis."																									
TIGR01288	2.236719054	-2.165240562	3.029702762	-0.714670953	0.47481239	0.999533006	Cellular processes	Other	nodI	ATP-binding ABC transporter family nodulation protein NodI	nodI	NA	This protein is required for normal nodulation by nitrogen-fixing root nodule bacteria such as Mesorhizobium loti. It is a member of the family of ABC transporter ATP binding proteins and works with NodJ to export a nodulation signal molecule. This model does not recognize the highly divergent NodI from Azorhizobium caulinodans.																									
TIGR03433	3.079527817	0.239075149	2.444947371	0.097783352	0.922104327	0.999533006	Regulatory functions	DNA interactions	padR_acidobact	"transcriptional regulator, Acidobacterial, PadR-family"	NA	NA	"Members of this protein family are putative transcriptional regulators of the PadR family, as found in species of the Acidobacteria. This family of proteins has expanded greatly in this lineage, and where it regularly is found in the vicinity of a putative transporter protein"																									
TIGR00970	5.41472325	-0.636798992	1.956683091	-0.325448201	0.74484188	0.999533006	Amino acid biosynthesis	Pyruvate family	leuA_yeast	"2-isopropylmalate synthase, yeast type"	leuA	2.3.3.13	"A larger family of homologous proteins includes homocitrate synthase, distinct lineages of 2-isopropylmalate synthase, several distinct, uncharacterized, orthologous sets in the Archaea, and other related enzymes. This model describes a family of 2-isopropylmalate synthases as found in yeasts and in a minority of studied bacteria."																									
TIGR01759	3.466411592	1.748590579	1.98287012	0.881848267	0.377858866	0.999533006	NA	NA	MalateDH-SF1	malate dehydrogenase	NA	1.1.1.-	This model represents a family of malate dehydrogenases in bacteria and eukaryotes which utilize either NAD or NADP depending on the species and context.																									
TIGR00409	2.45222276	-2.248485165	2.863309542	-0.785274917	0.432292399	0.999533006	Protein synthesis	tRNA aminoacylation	proS_fam_II	"prolyl-tRNA synthetase, family II"	proS	6.1.1.15	"Prolyl-tRNA synthetase is a class II tRNA synthetase and is recognized by pfam HMM tRNA-synt_2b, which recognizes tRNA synthetases for Gly, His, Ser, and Pro. The prolyl-tRNA synthetases are divided into two widely divergent groups. This group includes enzymes from Escherichia coli, Bacillus subtilis, Aquifex aeolicus, the spirochete Treponema pallidum, Synechocystis PCC6803, and one of the two prolyL-tRNA synthetases of Saccharomyces cerevisiae. The other group includes the Pro-specific domain of a human multifunctional tRNA ligase and the prolyl-tRNA synthetases from the Archaea, the Mycoplasmas, and the spirochete Borrelia burgdorferi."																									
TIGR02954	3.277463376	4.017487222	2.064106124	1.946356913	0.051611882	0.999533006	NA	NA	Sig70_famx3	"RNA polymerase sigma-70 factor, TIGR02954 family"	NA	NA	This group of sigma factors are members of the sigma-70 family (TIGR02937).																									
TIGR03945	3.160625469	0.391408913	2.262577583	0.172992482	0.862657337	0.999533006	Cellular processes	Biosynthesis of natural products	PLP_SbnA_fam	"2,3-diaminopropionate biosynthesis protein SbnA"	NA	NA	"Members of this family include SbnA, a protein of the staphyloferrin B biosynthesis operon of Staphylococcus aureus. SbnA and SbnB together appear to synthesize 2,3-diaminopropionate, a precursor of certain siderophores and other secondary metabolites. SbnA is a pyridoxal phosphate-dependent enzyme."																									
TIGR03873	1.381656428	-1.477868282	3.443325777	-0.429197926	0.667779192	0.999533006	NA	NA	F420-0_ABC_ATP	"proposed F420-0 ABC transporter, ATP-binding protein"	NA	NA	This small clade of ABC-type transporter ATP-binding protein components is found as a three gene cassette along with a periplasmic substrate-binding protein (TIGR03868) and a permease (TIGR03869).																									
TIGR02356	4.857426198	-0.44948911	2.015265393	-0.223042142	0.823502708	0.999533006	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	adenyl_thiF	"thiazole biosynthesis adenylyltransferase ThiF, E. coli subfamily"	thiF	2.7.7.73	"Members of the HesA/MoeB/ThiF family of proteins (PF00899) include a number of members encoded in the midst of thiamine biosynthetic operons. This mix of known and putative ThiF proteins shows a deep split in phylogenetic trees, with the Escherichia. coli ThiF and the E. coli MoeB proteins seemingly more closely related than E. coli ThiF and Campylobacter (for example) ThiF. This model represents the more widely distributed clade of ThiF proteins such found in E. coli."																									
TIGR00389	7.504294989	-1.181900716	1.845209076	-0.64052401	0.521831985	0.999533006	Protein synthesis	tRNA aminoacylation	glyS_dimeric	"glycyl-tRNA synthetase, dimeric type"	glyS	6.1.1.14	"This HMM describes a glycyl-tRNA synthetase distinct from the two alpha and two beta chains of the tetrameric E. coli glycyl-tRNA synthetase. This enzyme is a homodimeric class II tRNA synthetase and is recognized by pfam HMM tRNA-synt_2b, which recognizes His, Ser, Pro, and this set of glycyl-tRNA synthetases."																									
TIGR01504	3.151936105	0.339175161	2.390406301	0.141890172	0.887166757	0.999533006	NA	NA	glyox_carbo_lig	glyoxylate carboligase	gcl	4.1.1.47	"Glyoxylate carboligase, also called tartronate-semialdehyde synthase, releases CO2 while synthesizing a single molecule of tartronate semialdehyde from two molecules of glyoxylate. It is a thiamine pyrophosphate-dependent enzyme, closely related in sequence to the large subunit of acetolactate synthase. In the D-glycerate pathway, part of allantoin degradation in the Enterobacteriaceae, tartronate semialdehyde is converted to D-glycerate and then 3-phosphoglycerate, a product of glycolysis and entry point in the general metabolism."																									
TIGR02440	2.001516193	-1.879602214	3.028163747	-0.620706927	0.534792471	0.999533006	Fatty acid and phospholipid metabolism	Degradation	FadJ	"fatty oxidation complex, alpha subunit FadJ"	fadJ	"Members represent alpha subunit of multifunctional enzyme complex of the fatty acid degradation cycle. Plays a minor role in aerobic beta-oxidation of fatty acids. FadJI complex is necessary for anaerobic growth on short-chain acids with nitrate as an electron acceptor. Activities include: enoyl-CoA hydratase (EC 4.2.1.17),3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35), 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3). A representative is E. coli FadJ (aka YfcX) (SP:P77399). This model excludes the FadB of TIGR02437 equivalog hmm."	"Members represent alpha subunit of multifunctional enzyme complex of the fatty acid degradation cycle. Plays a minor role in aerobic beta-oxidation of fatty acids. FadJI complex is necessary for anaerobic growth on short-chain acids with nitrate as an electron acceptor. Activities include: enoyl-CoA hydratase (EC 4.2.1.17),3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35), 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3). A representative is E. coli FadJ (aka YfcX) (SP:P77399). This model excludes the FadB of TIGR02437 equivalog hmm."																									
TIGR01736	3.022844335	-2.570593094	2.71493174	-0.946835258	0.343722733	0.999533006	"Purines, pyrimidines, nucleosides, and nucleotides"	Purine ribonucleotide biosynthesis	FGAM_synth_II	phosphoribosylformylglycinamidine synthase II	purL	6.3.5.3	"Phosphoribosylformylglycinamidine synthase is a single, long polypeptide in most Proteobacteria and eukarotes. Three proteins are required in Bacillus subtilis and many other species. This is the longest of the three and is designated PurL, phosphoribosylformylglycinamidine synthase II, or FGAM synthase II."																									
TIGR00663	0.548607689	-0.271101535	4.719420419	-0.05744382	0.954191658	0.999533006	DNA metabolism	"DNA replication, recombination, and repair"	dnan	"DNA polymerase III, beta subunit"	dnaN	2.7.7.7	All proteins in this family for which functions are known are components of the DNA polymerase III complex (beta subunit). University).																									
TIGR04181	0.570621575	-0.320900089	4.650538547	-0.06900278	0.944987407	0.999533006	NA	NA	NHT_00031	"aminotransferase, LLPSF_NHT_00031 family"	NA	NA	This clade of aminotransferases is a member of the PF01041 (DegT/DnrJ/EryC1/StrS) superfamily.																									
TIGR01822	0.724718781	-0.627334843	4.267413602	-0.147005869	0.883127388	0.999533006	Energy metabolism	Amino acids and amines	2am3keto_CoA	glycine C-acetyltransferase	kbl	2.3.1.29	"This HMM represents a narrowly defined clade of animal and bacterial (almost exclusively Proteobacterial) 2-amino-3-ketobutyrate--CoA ligase, now called glycine C-acetyltransferase. This enzyme can act in threonine catabolism. The closest homolog from Bacillus subtilis, and sequences like it, may be functionally equivalent but were not included in the model because of difficulty in finding reports of function."																									
TIGR01342	3.389272282	3.301783507	2.195607731	1.503813026	0.132629516	0.999533006	Energy metabolism	TCA cycle	acon_putative	"aconitate hydratase, putative, Aquifex type"	NA	4.2.1.3	"This model represents a small family of proteins homologous (and likely functionally equivalent to) aconitase 1. Members are found, so far in the anaerobe Clostridium acetobutylicum, in the microaerophilic, early-branching bacterium Aquifex aeolicus, and in the halophilic archaeon Halobacterium sp. NRC-1. No member is experimentally characterized."																									
TIGR02089	4.293085699	1.335257911	1.962859055	0.680261737	0.496338747	0.999533006	Energy metabolism	Other	TTC	tartrate dehydrogenase	NA	1.1.1.93	Tartrate dehydrogenase catalyzes the oxidation of both meso- and (+)-tartrate as well as a D-malate [1].																									
TIGR01074	4.557921151	-0.263349781	2.050190009	-0.128451402	0.897791755	0.999533006	DNA metabolism	"DNA replication, recombination, and repair"	rep	ATP-dependent DNA helicase Rep	rep	3.6.4.12	Designed to identify rep members of the uvrD/rep subfamily.																									
TIGR00551	1.674786843	-1.681226967	3.108641002	-0.540823777	0.588629053	0.999533006	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	nadB	L-aspartate oxidase	nadB	1.4.3.16	"L-aspartate oxidase is the B protein, NadB, of the quinolinate synthetase complex. Quinolinate synthetase makes a precursor of the pyridine nucleotide portion of NAD. This model identifies proteins that cluster as L-aspartate oxidase (a flavoprotein difficult to separate from the set of closely related flavoprotein subunits of succinate dehydrogenase and fumarate reductase) by both UPGMA and neighbor-joining trees. The most distant protein accepted as an L-aspartate oxidase (NadB), that from Pyrococcus horikoshii, not only clusters with other NadB but is just one gene away from NadA."																									
TIGR01455	4.388184691	-0.283140538	2.099345403	-0.134870869	0.892713972	0.999533006	Central intermediary metabolism	Amino sugars	glmM	phosphoglucosamine mutase	glmM	5.4.2.10	"This HMM describes GlmM, phosphoglucosamine mutase, also designated in MrsA and YhbF E. coli, UreC in Helicobacter pylori, and femR315 or FemD in Staphlococcus aureus. It converts glucosamine-6-phosphate to glucosamine-1-phosphate as part of the pathway toward UDP-N-acetylglucosamine for peptidoglycan and lipopolysaccharides."																									
TIGR02875	0.768746553	-0.707316693	4.181119497	-0.169169213	0.865663545	0.999533006	Cellular processes	Sporulation and germination	spore_0_A	sporulation transcription factor Spo0A	spo0A	NA	"Spo0A, the stage 0 sporulation protein A, is a transcription factor critical for the initiation of sporulation. It contains a response regulator receiver domain (PF00072). In Bacillus subtilis, it works together with response regulator Spo0F and the phosphotransferase Spo0B, both of which are missing from at least some sporulating species and thus not part of the endospore forming bacteria minimal gene set. Spo0A, however, is universal among endospore-forming species."																									
TIGR00872	2.435914692	0.640677928	2.754970036	0.232553501	0.816108138	0.999533006	Energy metabolism	Pentose phosphate pathway	gnd_rel	6-phosphogluconate dehydrogenase (decarboxylating)	gnd	1.1.1.44	"This family resembles a larger family (gnd) of bacterial and eukaryotic 6-phosphogluconate dehydrogenases but differs from it by a deep split in a UPGMA similarity clustering tree and the lack of a central region of about 140 residues. Among complete genomes, it is found is found in Bacillus subtilis and Mycobacterium tuberculosis, both of which also contain gnd, and in Aquifex aeolicus."																									
TIGR02488	2.882952892	5.312457496	2.307289526	2.302466784	0.021308862	0.999533006	Cellular processes	Chemotaxis and motility	flgG_G_neg	"flagellar basal-body rod protein FlgG, Gram-negative bacteria"	flgG	NA	This family consists of the FlgG protein of the flagellar apparatus in the Proteobacteria and spirochetes.																									
TIGR02550	0.460552143	-0.051622205	5.048709975	-0.010224831	0.991841908	0.999533006	Cellular processes	Chemotaxis and motility	flagell_flgL	flagellar hook-associated protein 3	flgL	NA	This protein family consists of flagellar hook-associated proteins designated FlgL (or HAP3) encoded in bacterial flagellar operons.																									
TIGR02080	1.337628655	-1.424830329	3.479001895	-0.409551467	0.682135005	0.999533006	Amino acid biosynthesis	Aspartate family	O_succ_thio_ly	O-succinylhomoserine (thiol)-lyase	metB	2.5.1.48	"This family consists of O-succinylhomoserine (thiol)-lyase, one of three different enzymes designated cystathionine gamma-synthase and involved in methionine biosynthesis. In all three cases, sulfur is added by transsulfuration from Cys to yield cystathionine rather than by a sulfhydrylation step that"																									
TIGR03205	3.111387279	0.257571145	2.343190293	0.109923273	0.912470225	0.999533006	NA	NA	pimA	dicarboxylate--CoA ligase PimA	pimA	6.2.1.23	"PimA, a member of a large family of acyl-CoA ligases, is found in a characteristic operon pimFABCDE for the metabolism of pimelate and related compounds. It is found, so far, in Bradyrhizobium japonicum and several strains of Rhodopseudomonas palustris. PimA from R. palustris was shown to be active as a CoA ligase for C(7) to C(14) dicarboxylates and fatty acids."																									
TIGR02660	2.93981779	2.357066605	2.203385582	1.069747676	0.2847329	0.999533006	Central intermediary metabolism	Nitrogen fixation	nifV_homocitr	homocitrate synthase NifV	nifV	2.3.3.14	"This family consists of the NifV clade of homocitrate synthases, most of which are found in operons for nitrogen fixation. Members are closely homologous to enzymes that include"																									
TIGR00048	2.406942911	0.938898485	2.566222542	0.365867913	0.714463641	0.999533006	Protein synthesis	tRNA and rRNA base modification	rRNA_mod_RlmN	23S rRNA (adenine(2503)-C(2))-methyltransferase	rlmN	2.1.1.192	"Members of this family are RlmN, a 23S rRNA m2A2503 methyltransferase in the radical SAM enzyme family. Closely related is Cfr, a Staphylococcus sciuri plasmid-borne homolog to this family, Cfr, has been identified as essential to transferrable resistance to chloramphenicol and florfenicol. Cfr methylates 23S RNA at a different site."																									
TIGR03707	0.572361049	-0.404812964	5.069653477	-0.079850224	0.936356379	0.999533006	Central intermediary metabolism	Phosphorus compounds	PPK2_P_aer	"polyphosphate kinase 2, PA0141 family"	ppk2	2.7.4.1	Members of this protein family are designated polyphosphate kinase 2 (PPK2) after the characterized protein in Pseudomonas aeruginosa. This family comprises one of three well-separated clades in the larger family described by Pfam model PF03976.																									
TIGR01105	4.390499423	-0.135004245	2.106345117	-0.064094077	0.948895318	0.999533006	Regulatory functions	Protein interactions	galF	"UTP-glucose-1-phosphate uridylyltransferase, non-catalytic GalF subunit"	galF	NA	GalF is a non-catalytic subunit of the UTP-glucose pyrophosphorylase modulating the enzyme activity to increase the formation of UDP-glucose																									
TIGR03497	1.970144129	1.3193669	2.675028585	0.493216001	0.621859973	0.999533006	Cellular processes	Chemotaxis and motility	FliI_clade2	flagellar protein export ATPase FliI	fliI	3.6.3.14	Members of this protein family are the FliI protein of bacterial flagellum systems. This protein acts to drive protein export for flagellar biosynthesis. The most closely related family is the YscN family of bacterial type III secretion systems.																									
TIGR03358	4.255432559	1.1899074	1.82489748	0.652040684	0.514374928	0.999533006	Cellular processes	Pathogenesis	VI_chp_5	"type VI secretion protein, VC_A0107 family"	NA	NA	"Work by Mougous, et al. (2006), describes IAHP-related loci as a type VI secretion system (PMID:16763151). This protein family is associated with type VI secretion loci, although not treated explicitly by Mougous, et al."																									
TIGR03592	3.603311486	-2.806387245	2.646998849	-1.060214758	0.289046909	0.999533006	Protein fate	Protein and peptide secretion and trafficking	yidC_oxa1_cterm	"membrane protein insertase, YidC/Oxa1 family, C-terminal domain"	yidC	NA	"This model describes full-length from some species, and the C-terminal region only from other species, of the YidC/Oxa1 family of proteins. This domain appears to be univeral among bacteria (although absent from Archaea). The well-characterized YidC protein from Escherichia coli and its close homologs contain a large N-terminal periplasmic domain in addition to the region modeled here."																									
TIGR01163	3.096323283	0.373641588	2.251416083	0.165958479	0.868189626	0.999533006	Energy metabolism	Pentose phosphate pathway	rpe	ribulose-phosphate 3-epimerase	rpe	5.1.3.1	"This family consists of Ribulose-phosphate 3-epimerase, also known as pentose-5-phosphate 3-epimerase (PPE). PPE converts D-ribulose 5-phosphate into D-xylulose 5-phosphate in Calvins reductive pentose phosphate cycle. It has been found in a wide range of bacteria, archebacteria, fungi and plants.
DR"																									
TIGR03436	1.959227893	-1.897535705	2.991767013	-0.634252499	0.525916051	0.999533006	NA	NA	acidobact_VWFA	VWFA-related Acidobacterial domain	NA	NA	"Members of this family are bacterial domains that include a region related to the von Willebrand factor type A (VWFA) domain (PF00092). These domains are restricted to, and have undergone a large paralogous family expansion in, the Acidobacteria, including Solibacter usitatus and Acidobacterium capsulatum ATCC 51196."																									
TIGR01954	0.110069432	0.97373613	5.731615629	0.169888596	0.86509775	0.999533006	Transcription	Transcription factors	nusA_Cterm_rpt	"transcription termination factor NusA, C-terminal duplication"	nusA	NA	"NusA is a bacterial transcription termination factor. It is named for its interaction with phage lambda protein N, as part of the N utilization substance. Some members of the NusA family have a long C-terminal extension. This HMM represents an acidic 50-residue region found in two copies toward the C-terminus of most Proteobacterial NusA proteins, spaced about 26 residues apart. Analogous C-terminal extensions in some other bacterial lineages lack apparent homology but appear similarly acidic."																									
TIGR02632	0.995835309	-0.933325167	3.857509347	-0.241950202	0.80881875	0.999533006	NA	NA	RhaD_aldol-ADH	rhamnulose-1-phosphate aldolase/alcohol dehydrogenase	rhaD	4.1.2.19 1.1.1.1	NA																									
TIGR00079	2.854170531	0.60301824	2.313310451	0.260673287	0.794344468	0.999533006	Protein fate	Protein modification and repair	pept_deformyl	peptide deformylase	def	3.5.1.88	"Peptide deformylase (EC 3.5.1.88), also called polypeptide deformylase, is a metalloenzyme that uses water to release formate from the N-terminal formyl-L-methionine of bacterial and chloroplast peptides. This enzyme should not be confused with formylmethionine deformylase (EC 3.5.1.31) which is active on free N-formyl methionine and has been reported from rat intestine."																									
TIGR02638	0.438538256	0.009279278	5.146927564	0.001802877	0.998561513	0.999533006	Energy metabolism	Sugars	lactal_redase	lactaldehyde reductase	fucO	1.1.1.77	This clade of genes encoding iron-containing alcohol dehydrogenase (PF00465) proteins is generally found in apparent operons for the catabolism of rhamnose or fucose.																									
TIGR03263	1.58847077	-1.656105608	3.176951648	-0.521287634	0.602166414	0.999533006	"Purines, pyrimidines, nucleosides, and nucleotides"	Nucleotide and nucleoside interconversions	guanyl_kin	guanylate kinase	gmk	2.7.4.8	"Members of this family are the enzyme guanylate kinase, also called GMP kinase. This enzyme transfers a phosphate from ATP to GMP, yielding ADP and GDP."																									
TIGR00055	0.462291616	-0.162131202	5.50802005	-0.029435478	0.976517278	0.999533006	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	uppS	undecaprenyl diphosphate synthase	uppS	2.5.1.31	"This enzyme builds undecaprenyl diphosphate, a molecule that in bacteria is used a carrier in synthesizing cell wall components. Alternate name: undecaprenyl pyrophosphate synthetase. Activity has been demonstrated experimentally for members of this family from Micrococcus luteus, E. coli, Haemophilus influenzae, and Streptococcus pneumoniae."																									
TIGR00506	2.110916812	1.19959753	2.666539947	0.449870451	0.652803855	0.999533006	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	ribB	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	ribB	4.1.99.12	"Several members of the family are bifunctional, involving both ribA and ribB function. In these cases, ribA tends to be on the C-terminal end of the protein and ribB tends to be on the N-terminal."																									
TIGR01361	2.615496727	0.669896405	2.388692342	0.280444825	0.779136251	0.999533006	Amino acid biosynthesis	Aromatic amino acid family	DAHP_synth_Bsub	3-deoxy-7-phosphoheptulonate synthase	aroF	2.5.1.54	"This model describes one of at least three types of phospho-2-dehydro-3-deoxyheptonate aldolase (DAHP synthase). This enzyme catalyzes the first of 7 steps in the biosynthesis of chorismate, that last common precursor of all three aromatic amino acids and of PABA, ubiquinone and menaquinone. Some members of this family, including an experimentally characterized member from Bacillus subtilis, are bifunctional, with a chorismate mutase domain N-terminal to this region. The member of this family from Synechocystis PCC 6803, CcmA, was shown to be essential for carboxysome formation. However, no other candidate for this enzyme is present in that species, chorismate biosynthesis does occur, other species having this protein lack carboxysomes but appear to make chorismate, and a requirement of CcmA for carboxysome formation does not prohibit a role in chorismate biosynthesis."																									
TIGR01416	1.359642542	-1.451603405	3.460856898	-0.41943468	0.674898483	0.999533006	Energy metabolism	Electron transport	Rieske_proteo	"ubiquinol-cytochrome c reductase, iron-sulfur subunit"	petA	1.10.2.2	This model represents the Proteobacterial and mitochondrial type of the Rieske [2Fe-2S] iron-sulfur as found in ubiquinol-cytochrome c reductase. The model excludes the Rieske iron-sulfur protein as found in the cytochrome b6-f complex of the Cyanobacteria and chloroplasts. Most members of this family have a recognizable twin-arginine translocation (tat) signal sequence (DeltaPh-dependent translocation in chloroplast) for transport across the membrane with the 2Fe-2S group already bound. These signal sequences include a motif resembling RRxFLK before the transmembrane helix.																									
TIGR01173	1.982981253	-1.974539594	2.980837544	-0.662411005	0.507707853	0.999533006	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	glmU	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase	glmU	2.7.7.23 2.3.1.157	"This protein is a bifunctional enzyme, GlmU, which catalyzes last two reactions in the four-step pathway of UDP-N-acetylglucosamine biosynthesis from fructose-6-phosphate. Its reaction product is required from peptidoglycan biosynthesis, LPS biosynthesis in species with LPS, and certain other processes."																									
TIGR01131	24.38489154	-5.504935799	2.234349778	-2.463775302	0.013748227	0.999533006	Energy metabolism	ATP-proton motive force interconversion	ATP_synt_6_or_A	"ATP synthase subunit 6 (eukaryotes),also subunit A (prokaryotes)"	atpB	3.6.3.14	"Bacterial forms should be designated ATP synthase, F0 subunit A; eukaryotic (chloroplast and mitochondrial) forms should be designated ATP synthase, F0 subunit 6. The F1/F0 ATP synthase is a multisubunit, membrane associated enzyme found in bacteria and mitochondria and chloroplast. This enzyme is principally involved in the synthesis of ATP from ADP and inorganic phosphate by coupling the energy derived from the proton electrochemical gradient across the biological membrane. A brief description of this multisubunit enzyme complex: F1 and F0 represent two major clusters of subunits. Individual subunits in each of these clusters are named differently in prokaryotes and in organelles e.g., mitochondria and chloroplast. The bacterial equivalent of subunit 6 is named subunit A. It has been shown that proton is conducted though this subunit. Typically, deprotonation and reprotonation of the acidic amino acid side-chains are implicated in the process."																									
TIGR03414	0.555557579	0.619457775	5.282008346	0.11727694	0.906640598	0.999533006	Transport and binding proteins	"Amino acids, peptides and amines"	ABC_choline_bnd	"choline ABC transporter, periplasmic binding protein"	choX	NA	"Partial phylogenetic profiling (PMID:16930487) vs. the genome property of glycine betaine biosynthesis from choline consistently reveals a member of this ABC transporter periplasmic binding protein as the best match, save for the betaine biosynthesis enzymes themselves. Genomes often carry several paralogs, one encoded together with the permease and ATP-binding components and another encoded next to a choline-sulfatase gene, suggesting that different members of this protein family interact with shared components and give some flexibility in substrate. Of two members from Sinorhizobium meliloti 1021, one designated ChoX has been shown experimentally to bind choline (though not various related compounds such as betaine) and to be required for about 60 % of choline uptake. Members of this protein have an invariant Cys residue near the N-terminus and likely are lipoproteins."																									
TIGR02985	0.438538256	0.009279278	5.146927564	0.001802877	0.998561513	0.999533006	NA	NA	Sig70_bacteroi1	"RNA polymerase sigma-70 factor, Bacteroides expansion family 1"	NA	NA	This group of sigma factors are members of the sigma-70 family (TIGR02937) and are found primarily in the genus Bacteroides.																									
TIGR01179	2.201380645	-2.102897869	2.903716277	-0.72420914	0.468937348	0.999533006	Energy metabolism	Sugars	galE	UDP-glucose-4-epimerase GalE	galE	5.1.3.2	"Alternate name: UDPgalactose 4-epimerase This enzyme interconverts UDP-glucose and UDP-galactose. A set of related proteins, some of which are tentatively identified as UDP-glucose-4-epimerase in Thermotoga maritima, Bacillus halodurans, and several archaea, but deeply branched from this set and lacking experimental evidence, are excluded from this HMM and described by a separate model."																									
TIGR02989	2.470576284	2.983947595	2.32844477	1.281519594	0.200011222	0.999533006	NA	NA	Sig-70_gvs1	"RNA polymerase sigma-70 factor, Rhodopirellula/Verrucomicrobium family"	NA	NA	"This group of sigma factors are members of the sigma-70 family (TIGR02937) and are abundantly found in the species Rhodopirellula baltica (11), and Verrucomicrobium spinosum (16) and to a lesser extent in Gemmata obscuriglobus (2)."																									
TIGR03709	2.472984571	0.856850864	2.530962361	0.338547454	0.734950673	0.999533006	Central intermediary metabolism	Phosphorus compounds	PPK2_rel_1	"polyphosphate:nucleotide phosphotransferase, PPK2 family"	NA	2.7.4.-	"Members of this protein family belong to the polyphosphate kinase 2 (PPK2) family, which is not related in sequence to PPK1. While PPK1 tends to act in the biosynthesis of polyphosphate, or poly(P), members of the PPK2 family tend to use the terminal phosphate of poly(P) to regenerate ATP or GTP from the corresponding nucleoside diphosphate, or ADP from AMP"																									
TIGR02483	4.002363572	-0.065233696	2.104775131	-0.03099319	0.975274971	0.999533006	Energy metabolism	Glycolysis/gluconeogenesis	PFK_mixed	phosphofructokinase	NA	"Members of this family that are characterized, save one, are phosphofructokinases dependent on pyrophosphate (EC 2.7.1.90) rather than ATP (EC 2.7.1.11). The exception is one of three"	"Members of this family that are characterized, save one, are phosphofructokinases dependent on pyrophosphate (EC 2.7.1.90) rather than ATP (EC 2.7.1.11). The exception is one of three"																									
TIGR03417	0.066041659	1.258002546	5.732960239	0.219433328	0.82631251	0.999533006	NA	NA	chol_sulfatase	choline-sulfatase	betC	3.1.6.6	NA																									
TIGR03692	2.485821696	-2.267640612	2.830494723	-0.801146384	0.423046906	0.999533006	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	ATP_dep_HslV	"ATP-dependent protease HslVU, peptidase subunit"	hslV	3.4.25.2	"The ATP-dependent protease HslVU, a complex of hexameric HslU active as a protein-unfolding ATPase and dodecameric HslV, the catalytic threonine protease."																									
TIGR00977	2.889021543	-2.454476475	2.724732499	-0.900813741	0.36768736	0.999533006	Unknown function	General	citramal_synth	citramalate synthase	cimA	2.3.1.182	"This model includes GSU1798 and is now known to represent citramalate synthase. Members are related to 2-isopropylmalate synthases and homocitrate synthases but phylogenetically distinct. The role is isoleucine biosynthesis, the first dedicated step."																									
TIGR00243	2.144028349	-2.010914024	2.947196456	-0.682314211	0.495040289	0.999533006	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	Dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxr	1.1.1.267	"1-deoxy-D-xylulose 5-phosphate is converted to 2-C-methyl-D-erythritol 4-phosphate in the presence of NADPH. It is involved in the synthesis of isopentenyl diphosphate (IPP), a basic building block in isoprenoid, thiamin, and pyridoxal biosynthesis."																									
TIGR03600	2.461399522	0.840535062	2.424109823	0.346739679	0.728786898	0.999533006	Mobile and extrachromosomal element functions	Prophage functions	phage_DnaB	"phage replicative helicase, DnaB family, HK022 subfamily"	NA	NA	"Members of this family are phage (or prophage-region) homologs of the bacterial homohexameric replicative helicase DnaB. Some phage may rely on host DnaB, while others encode their own verions. This model describes the largest phage-specific clade among the close homologs of DnaB, but there are, or course, other DnaB homologs from phage that fall outside the scope of this model."																									
