	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj																															
TIGR01288	49.32654756	-0.597291069	0.332960572	-1.793879272	0.072832441	0.174767061	Cellular processes	Other	nodI	ATP-binding ABC transporter family nodulation protein NodI	nodI	NA	This protein is required for normal nodulation by nitrogen-fixing root nodule bacteria such as Mesorhizobium loti. It is a member of the family of ABC transporter ATP binding proteins and works with NodJ to export a nodulation signal molecule. This model does not recognize the highly divergent NodI from Azorhizobium caulinodans.																								
TIGR03433	37.73936271	-0.695840803	0.439053023	-1.584867356	0.112996475	0.248420302	Regulatory functions	DNA interactions	padR_acidobact	"transcriptional regulator, Acidobacterial, PadR-family"	NA	NA	"Members of this protein family are putative transcriptional regulators of the PadR family, as found in species of the Acidobacteria. This family of proteins has expanded greatly in this lineage, and where it regularly is found in the vicinity of a putative transporter protein"																								
TIGR00970	69.92379447	0.858728049	0.267786219	3.206767148	0.001342356	0.0078132	Amino acid biosynthesis	Pyruvate family	leuA_yeast	"2-isopropylmalate synthase, yeast type"	leuA	2.3.3.13	"A larger family of homologous proteins includes homocitrate synthase, distinct lineages of 2-isopropylmalate synthase, several distinct, uncharacterized, orthologous sets in the Archaea, and other related enzymes. This model describes a family of 2-isopropylmalate synthases as found in yeasts and in a minority of studied bacteria."																								
TIGR01759	57.68899369	0.301141117	0.300848641	1.000972171	0.316840263	0.497391007	NA	NA	MalateDH-SF1	malate dehydrogenase	NA	1.1.1.-	This model represents a family of malate dehydrogenases in bacteria and eukaryotes which utilize either NAD or NADP depending on the species and context.																								
TIGR00409	68.4618277	1.506453507	0.355602308	4.23634344	2.27E-05	0.000299837	Protein synthesis	tRNA aminoacylation	proS_fam_II	"prolyl-tRNA synthetase, family II"	proS	6.1.1.15	"Prolyl-tRNA synthetase is a class II tRNA synthetase and is recognized by pfam HMM tRNA-synt_2b, which recognizes tRNA synthetases for Gly, His, Ser, and Pro. The prolyl-tRNA synthetases are divided into two widely divergent groups. This group includes enzymes from Escherichia coli, Bacillus subtilis, Aquifex aeolicus, the spirochete Treponema pallidum, Synechocystis PCC6803, and one of the two prolyL-tRNA synthetases of Saccharomyces cerevisiae. The other group includes the Pro-specific domain of a human multifunctional tRNA ligase and the prolyl-tRNA synthetases from the Archaea, the Mycoplasmas, and the spirochete Borrelia burgdorferi."																								
TIGR02954	63.29171248	-0.62462847	0.435239438	-1.435137573	0.151247899	0.302229516	NA	NA	Sig70_famx3	"RNA polymerase sigma-70 factor, TIGR02954 family"	NA	NA	This group of sigma factors are members of the sigma-70 family (TIGR02937).																								
TIGR03945	51.41082895	-0.390636584	0.368943761	-1.0587971	0.289692195	0.467710727	Cellular processes	Biosynthesis of natural products	PLP_SbnA_fam	"2,3-diaminopropionate biosynthesis protein SbnA"	NA	NA	"Members of this family include SbnA, a protein of the staphyloferrin B biosynthesis operon of Staphylococcus aureus. SbnA and SbnB together appear to synthesize 2,3-diaminopropionate, a precursor of certain siderophores and other secondary metabolites. SbnA is a pyridoxal phosphate-dependent enzyme."																								
TIGR03873	52.14306254	0.522860069	0.453094223	1.153976463	0.248509819	0.419106455	NA	NA	F420-0_ABC_ATP	"proposed F420-0 ABC transporter, ATP-binding protein"	NA	NA	This small clade of ABC-type transporter ATP-binding protein components is found as a three gene cassette along with a periplasmic substrate-binding protein (TIGR03868) and a permease (TIGR03869).																								
TIGR02356	59.00491549	-0.223888338	0.323500831	-0.692079637	0.488887319	0.662947559	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	adenyl_thiF	"thiazole biosynthesis adenylyltransferase ThiF, E. coli subfamily"	thiF	2.7.7.73	"Members of the HesA/MoeB/ThiF family of proteins (PF00899) include a number of members encoded in the midst of thiamine biosynthetic operons. This mix of known and putative ThiF proteins shows a deep split in phylogenetic trees, with the Escherichia. coli ThiF and the E. coli MoeB proteins seemingly more closely related than E. coli ThiF and Campylobacter (for example) ThiF. This model represents the more widely distributed clade of ThiF proteins such found in E. coli."																								
TIGR00389	65.63132304	-1.062940661	0.33631984	-3.16050537	0.001574957	0.008937881	Protein synthesis	tRNA aminoacylation	glyS_dimeric	"glycyl-tRNA synthetase, dimeric type"	glyS	6.1.1.14	"This HMM describes a glycyl-tRNA synthetase distinct from the two alpha and two beta chains of the tetrameric E. coli glycyl-tRNA synthetase. This enzyme is a homodimeric class II tRNA synthetase and is recognized by pfam HMM tRNA-synt_2b, which recognizes His, Ser, Pro, and this set of glycyl-tRNA synthetases."																								
TIGR01504	48.81143903	0.254734482	0.267866584	0.950975213	0.341616959	0.524675572	NA	NA	glyox_carbo_lig	glyoxylate carboligase	gcl	4.1.1.47	"Glyoxylate carboligase, also called tartronate-semialdehyde synthase, releases CO2 while synthesizing a single molecule of tartronate semialdehyde from two molecules of glyoxylate. It is a thiamine pyrophosphate-dependent enzyme, closely related in sequence to the large subunit of acetolactate synthase. In the D-glycerate pathway, part of allantoin degradation in the Enterobacteriaceae, tartronate semialdehyde is converted to D-glycerate and then 3-phosphoglycerate, a product of glycolysis and entry point in the general metabolism."																								
TIGR02440	53.47117884	0.624019704	0.31423117	1.985861885	0.047048662	0.12505909	Fatty acid and phospholipid metabolism	Degradation	FadJ	"fatty oxidation complex, alpha subunit FadJ"	fadJ	"Members represent alpha subunit of multifunctional enzyme complex of the fatty acid degradation cycle. Plays a minor role in aerobic beta-oxidation of fatty acids. FadJI complex is necessary for anaerobic growth on short-chain acids with nitrate as an electron acceptor. Activities include: enoyl-CoA hydratase (EC 4.2.1.17),3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35), 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3). A representative is E. coli FadJ (aka YfcX) (SP:P77399). This model excludes the FadB of TIGR02437 equivalog hmm."	"Members represent alpha subunit of multifunctional enzyme complex of the fatty acid degradation cycle. Plays a minor role in aerobic beta-oxidation of fatty acids. FadJI complex is necessary for anaerobic growth on short-chain acids with nitrate as an electron acceptor. Activities include: enoyl-CoA hydratase (EC 4.2.1.17),3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35), 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3). A representative is E. coli FadJ (aka YfcX) (SP:P77399). This model excludes the FadB of TIGR02437 equivalog hmm."																								
TIGR01736	73.48574439	-0.641793857	0.275314631	-2.331128768	0.019746571	0.065721154	"Purines, pyrimidines, nucleosides, and nucleotides"	Purine ribonucleotide biosynthesis	FGAM_synth_II	phosphoribosylformylglycinamidine synthase II	purL	6.3.5.3	"Phosphoribosylformylglycinamidine synthase is a single, long polypeptide in most Proteobacteria and eukarotes. Three proteins are required in Bacillus subtilis and many other species. This is the longest of the three and is designated PurL, phosphoribosylformylglycinamidine synthase II, or FGAM synthase II."																								
TIGR00663	52.60245878	-0.408312748	0.27735536	-1.472164622	0.140976428	0.285729011	DNA metabolism	"DNA replication, recombination, and repair"	dnan	"DNA polymerase III, beta subunit"	dnaN	2.7.7.7	All proteins in this family for which functions are known are components of the DNA polymerase III complex (beta subunit). University).																								
TIGR04181	56.16729334	-0.23838254	0.340885208	-0.699304442	0.484361792	0.658383992	NA	NA	NHT_00031	"aminotransferase, LLPSF_NHT_00031 family"	NA	NA	This clade of aminotransferases is a member of the PF01041 (DegT/DnrJ/EryC1/StrS) superfamily.																								
TIGR01822	70.82568563	-1.194826545	0.364164859	-3.281004513	0.001034381	0.0062448	Energy metabolism	Amino acids and amines	2am3keto_CoA	glycine C-acetyltransferase	kbl	2.3.1.29	"This HMM represents a narrowly defined clade of animal and bacterial (almost exclusively Proteobacterial) 2-amino-3-ketobutyrate--CoA ligase, now called glycine C-acetyltransferase. This enzyme can act in threonine catabolism. The closest homolog from Bacillus subtilis, and sequences like it, may be functionally equivalent but were not included in the model because of difficulty in finding reports of function."																								
TIGR01342	57.25199397	-0.950366718	0.287789722	-3.302295552	0.00095897	0.005947708	Energy metabolism	TCA cycle	acon_putative	"aconitate hydratase, putative, Aquifex type"	NA	4.2.1.3	"This model represents a small family of proteins homologous (and likely functionally equivalent to) aconitase 1. Members are found, so far in the anaerobe Clostridium acetobutylicum, in the microaerophilic, early-branching bacterium Aquifex aeolicus, and in the halophilic archaeon Halobacterium sp. NRC-1. No member is experimentally characterized."																								
TIGR02089	52.23604558	0.161710744	0.237025808	0.682249522	0.495081185	0.667109634	Energy metabolism	Other	TTC	tartrate dehydrogenase	NA	1.1.1.93	Tartrate dehydrogenase catalyzes the oxidation of both meso- and (+)-tartrate as well as a D-malate [1].																								
TIGR01074	68.56940597	0.459840911	0.230922322	1.991322911	0.046445398	0.124036534	DNA metabolism	"DNA replication, recombination, and repair"	rep	ATP-dependent DNA helicase Rep	rep	3.6.4.12	Designed to identify rep members of the uvrD/rep subfamily.																								
TIGR00551	63.17130707	0.485588459	0.243285139	1.995964325	0.045937806	0.123261016	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	nadB	L-aspartate oxidase	nadB	1.4.3.16	"L-aspartate oxidase is the B protein, NadB, of the quinolinate synthetase complex. Quinolinate synthetase makes a precursor of the pyridine nucleotide portion of NAD. This model identifies proteins that cluster as L-aspartate oxidase (a flavoprotein difficult to separate from the set of closely related flavoprotein subunits of succinate dehydrogenase and fumarate reductase) by both UPGMA and neighbor-joining trees. The most distant protein accepted as an L-aspartate oxidase (NadB), that from Pyrococcus horikoshii, not only clusters with other NadB but is just one gene away from NadA."																								
TIGR01455	49.62234337	0.924498906	0.302184391	3.059386701	0.002217907	0.011930446	Central intermediary metabolism	Amino sugars	glmM	phosphoglucosamine mutase	glmM	5.4.2.10	"This HMM describes GlmM, phosphoglucosamine mutase, also designated in MrsA and YhbF E. coli, UreC in Helicobacter pylori, and femR315 or FemD in Staphlococcus aureus. It converts glucosamine-6-phosphate to glucosamine-1-phosphate as part of the pathway toward UDP-N-acetylglucosamine for peptidoglycan and lipopolysaccharides."																								
TIGR02875	21.05872782	0.299008522	0.466331609	0.641192911	0.521397355	0.691019251	Cellular processes	Sporulation and germination	spore_0_A	sporulation transcription factor Spo0A	spo0A	NA	"Spo0A, the stage 0 sporulation protein A, is a transcription factor critical for the initiation of sporulation. It contains a response regulator receiver domain (PF00072). In Bacillus subtilis, it works together with response regulator Spo0F and the phosphotransferase Spo0B, both of which are missing from at least some sporulating species and thus not part of the endospore forming bacteria minimal gene set. Spo0A, however, is universal among endospore-forming species."																								
TIGR00872	70.97417594	0.209112602	0.281996643	0.741542878	0.458364344	0.635462208	Energy metabolism	Pentose phosphate pathway	gnd_rel	6-phosphogluconate dehydrogenase (decarboxylating)	gnd	1.1.1.44	"This family resembles a larger family (gnd) of bacterial and eukaryotic 6-phosphogluconate dehydrogenases but differs from it by a deep split in a UPGMA similarity clustering tree and the lack of a central region of about 140 residues. Among complete genomes, it is found is found in Bacillus subtilis and Mycobacterium tuberculosis, both of which also contain gnd, and in Aquifex aeolicus."																								
TIGR02488	61.09141804	0.893063454	0.386803822	2.308827896	0.020953133	0.069334712	Cellular processes	Chemotaxis and motility	flgG_G_neg	"flagellar basal-body rod protein FlgG, Gram-negative bacteria"	flgG	NA	This family consists of the FlgG protein of the flagellar apparatus in the Proteobacteria and spirochetes.																								
TIGR02550	43.5875403	1.844079252	0.37610879	4.903047477	9.44E-07	2.30E-05	Cellular processes	Chemotaxis and motility	flagell_flgL	flagellar hook-associated protein 3	flgL	NA	This protein family consists of flagellar hook-associated proteins designated FlgL (or HAP3) encoded in bacterial flagellar operons.																								
TIGR02080	59.4262939	-0.176497136	0.231458101	-0.762544647	0.445735007	0.62187286	Amino acid biosynthesis	Aspartate family	O_succ_thio_ly	O-succinylhomoserine (thiol)-lyase	metB	2.5.1.48	"This family consists of O-succinylhomoserine (thiol)-lyase, one of three different enzymes designated cystathionine gamma-synthase and involved in methionine biosynthesis. In all three cases, sulfur is added by transsulfuration from Cys to yield cystathionine rather than by a sulfhydrylation step that"																								
TIGR03205	46.30156943	0.611815286	0.303888121	2.013291221	0.044084001	0.119131766	NA	NA	pimA	dicarboxylate--CoA ligase PimA	pimA	6.2.1.23	"PimA, a member of a large family of acyl-CoA ligases, is found in a characteristic operon pimFABCDE for the metabolism of pimelate and related compounds. It is found, so far, in Bradyrhizobium japonicum and several strains of Rhodopseudomonas palustris. PimA from R. palustris was shown to be active as a CoA ligase for C(7) to C(14) dicarboxylates and fatty acids."																								
TIGR02660	58.04371264	-0.772348278	0.294643387	-2.62129853	0.008759552	0.034346524	Central intermediary metabolism	Nitrogen fixation	nifV_homocitr	homocitrate synthase NifV	nifV	2.3.3.14	"This family consists of the NifV clade of homocitrate synthases, most of which are found in operons for nitrogen fixation. Members are closely homologous to enzymes that include"																								
TIGR00048	54.19894806	-0.015274049	0.262315284	-0.058227827	0.953567155	0.978570272	Protein synthesis	tRNA and rRNA base modification	rRNA_mod_RlmN	23S rRNA (adenine(2503)-C(2))-methyltransferase	rlmN	2.1.1.192	"Members of this family are RlmN, a 23S rRNA m2A2503 methyltransferase in the radical SAM enzyme family. Closely related is Cfr, a Staphylococcus sciuri plasmid-borne homolog to this family, Cfr, has been identified as essential to transferrable resistance to chloramphenicol and florfenicol. Cfr methylates 23S RNA at a different site."																								
TIGR03707	21.28098169	0.342520432	0.39930451	0.857792547	0.391007026	0.574861366	Central intermediary metabolism	Phosphorus compounds	PPK2_P_aer	"polyphosphate kinase 2, PA0141 family"	ppk2	2.7.4.1	Members of this protein family are designated polyphosphate kinase 2 (PPK2) after the characterized protein in Pseudomonas aeruginosa. This family comprises one of three well-separated clades in the larger family described by Pfam model PF03976.																								
TIGR01105	89.78008872	2.952411321	0.550427942	5.363847104	8.15E-08	3.08E-06	Regulatory functions	Protein interactions	galF	"UTP-glucose-1-phosphate uridylyltransferase, non-catalytic GalF subunit"	galF	NA	GalF is a non-catalytic subunit of the UTP-glucose pyrophosphorylase modulating the enzyme activity to increase the formation of UDP-glucose																								
TIGR03497	57.11167197	0.020594495	0.397055884	0.051868001	0.958633871	0.979466698	Cellular processes	Chemotaxis and motility	FliI_clade2	flagellar protein export ATPase FliI	fliI	3.6.3.14	Members of this protein family are the FliI protein of bacterial flagellum systems. This protein acts to drive protein export for flagellar biosynthesis. The most closely related family is the YscN family of bacterial type III secretion systems.																								
TIGR03358	68.37427709	-1.176103003	0.273827294	-4.295053965	1.75E-05	0.00023883	Cellular processes	Pathogenesis	VI_chp_5	"type VI secretion protein, VC_A0107 family"	NA	NA	"Work by Mougous, et al. (2006), describes IAHP-related loci as a type VI secretion system (PMID:16763151). This protein family is associated with type VI secretion loci, although not treated explicitly by Mougous, et al."																								
TIGR03592	48.06910585	0.806900137	0.298462481	2.703522846	0.006860873	0.028665275	Protein fate	Protein and peptide secretion and trafficking	yidC_oxa1_cterm	"membrane protein insertase, YidC/Oxa1 family, C-terminal domain"	yidC	NA	"This model describes full-length from some species, and the C-terminal region only from other species, of the YidC/Oxa1 family of proteins. This domain appears to be univeral among bacteria (although absent from Archaea). The well-characterized YidC protein from Escherichia coli and its close homologs contain a large N-terminal periplasmic domain in addition to the region modeled here."																								
TIGR01163	63.98510657	0.635965989	0.264230581	2.406859894	0.016090341	0.054842455	Energy metabolism	Pentose phosphate pathway	rpe	ribulose-phosphate 3-epimerase	rpe	5.1.3.1	"This family consists of Ribulose-phosphate 3-epimerase, also known as pentose-5-phosphate 3-epimerase (PPE). PPE converts D-ribulose 5-phosphate into D-xylulose 5-phosphate in Calvins reductive pentose phosphate cycle. It has been found in a wide range of bacteria, archebacteria, fungi and plants.
DR"																								
TIGR03436	51.17299036	-0.963820849	0.463080175	-2.081326089	0.037404069	0.105869372	NA	NA	acidobact_VWFA	VWFA-related Acidobacterial domain	NA	NA	"Members of this family are bacterial domains that include a region related to the von Willebrand factor type A (VWFA) domain (PF00092). These domains are restricted to, and have undergone a large paralogous family expansion in, the Acidobacteria, including Solibacter usitatus and Acidobacterium capsulatum ATCC 51196."																								
TIGR01954	69.09757027	2.565414665	0.467222911	5.490772402	4.00E-08	1.57E-06	Transcription	Transcription factors	nusA_Cterm_rpt	"transcription termination factor NusA, C-terminal duplication"	nusA	NA	"NusA is a bacterial transcription termination factor. It is named for its interaction with phage lambda protein N, as part of the N utilization substance. Some members of the NusA family have a long C-terminal extension. This HMM represents an acidic 50-residue region found in two copies toward the C-terminus of most Proteobacterial NusA proteins, spaced about 26 residues apart. Analogous C-terminal extensions in some other bacterial lineages lack apparent homology but appear similarly acidic."																								
TIGR02632	64.44550268	0.082958625	0.388627747	0.213465522	0.830963879	0.910370659	NA	NA	RhaD_aldol-ADH	rhamnulose-1-phosphate aldolase/alcohol dehydrogenase	rhaD	4.1.2.19 1.1.1.1	NA																								
TIGR00079	52.35633963	0.035418226	0.234642513	0.150945479	0.880018725	0.939624885	Protein fate	Protein modification and repair	pept_deformyl	peptide deformylase	def	3.5.1.88	"Peptide deformylase (EC 3.5.1.88), also called polypeptide deformylase, is a metalloenzyme that uses water to release formate from the N-terminal formyl-L-methionine of bacterial and chloroplast peptides. This enzyme should not be confused with formylmethionine deformylase (EC 3.5.1.31) which is active on free N-formyl methionine and has been reported from rat intestine."																								
TIGR02638	14.00269668	3.58336602	0.739490722	4.845721406	1.26E-06	2.81E-05	Energy metabolism	Sugars	lactal_redase	lactaldehyde reductase	fucO	1.1.1.77	This clade of genes encoding iron-containing alcohol dehydrogenase (PF00465) proteins is generally found in apparent operons for the catabolism of rhamnose or fucose.																								
TIGR03263	39.39703604	0.134979699	0.33663586	0.400966489	0.688444797	0.81510596	"Purines, pyrimidines, nucleosides, and nucleotides"	Nucleotide and nucleoside interconversions	guanyl_kin	guanylate kinase	gmk	2.7.4.8	"Members of this family are the enzyme guanylate kinase, also called GMP kinase. This enzyme transfers a phosphate from ATP to GMP, yielding ADP and GDP."																								
TIGR00055	51.17135772	-0.811923615	0.289803188	-2.801637967	0.00508439	0.022281012	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	uppS	undecaprenyl diphosphate synthase	uppS	2.5.1.31	"This enzyme builds undecaprenyl diphosphate, a molecule that in bacteria is used a carrier in synthesizing cell wall components. Alternate name: undecaprenyl pyrophosphate synthetase. Activity has been demonstrated experimentally for members of this family from Micrococcus luteus, E. coli, Haemophilus influenzae, and Streptococcus pneumoniae."																								
TIGR00506	56.97593901	-0.043544486	0.247749701	-0.175759993	0.860482501	0.926367179	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	ribB	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	ribB	4.1.99.12	"Several members of the family are bifunctional, involving both ribA and ribB function. In these cases, ribA tends to be on the C-terminal end of the protein and ribB tends to be on the N-terminal."																								
TIGR01361	39.46993983	0.027004247	0.355057584	0.076055964	0.939374574	0.97579004	Amino acid biosynthesis	Aromatic amino acid family	DAHP_synth_Bsub	3-deoxy-7-phosphoheptulonate synthase	aroF	2.5.1.54	"This model describes one of at least three types of phospho-2-dehydro-3-deoxyheptonate aldolase (DAHP synthase). This enzyme catalyzes the first of 7 steps in the biosynthesis of chorismate, that last common precursor of all three aromatic amino acids and of PABA, ubiquinone and menaquinone. Some members of this family, including an experimentally characterized member from Bacillus subtilis, are bifunctional, with a chorismate mutase domain N-terminal to this region. The member of this family from Synechocystis PCC 6803, CcmA, was shown to be essential for carboxysome formation. However, no other candidate for this enzyme is present in that species, chorismate biosynthesis does occur, other species having this protein lack carboxysomes but appear to make chorismate, and a requirement of CcmA for carboxysome formation does not prohibit a role in chorismate biosynthesis."																								
TIGR01416	74.4639867	0.932511572	0.313697634	2.972644584	0.002952461	0.015027101	Energy metabolism	Electron transport	Rieske_proteo	"ubiquinol-cytochrome c reductase, iron-sulfur subunit"	petA	1.10.2.2	This model represents the Proteobacterial and mitochondrial type of the Rieske [2Fe-2S] iron-sulfur as found in ubiquinol-cytochrome c reductase. The model excludes the Rieske iron-sulfur protein as found in the cytochrome b6-f complex of the Cyanobacteria and chloroplasts. Most members of this family have a recognizable twin-arginine translocation (tat) signal sequence (DeltaPh-dependent translocation in chloroplast) for transport across the membrane with the 2Fe-2S group already bound. These signal sequences include a motif resembling RRxFLK before the transmembrane helix.																								
TIGR01173	49.17046423	0.269281672	0.345926198	0.778436771	0.436311568	0.61211462	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	glmU	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase	glmU	2.7.7.23 2.3.1.157	"This protein is a bifunctional enzyme, GlmU, which catalyzes last two reactions in the four-step pathway of UDP-N-acetylglucosamine biosynthesis from fructose-6-phosphate. Its reaction product is required from peptidoglycan biosynthesis, LPS biosynthesis in species with LPS, and certain other processes."																								
TIGR01131	87.21644511	-0.490445601	0.453511532	-1.081440197	0.279501349	0.455796022	Energy metabolism	ATP-proton motive force interconversion	ATP_synt_6_or_A	"ATP synthase subunit 6 (eukaryotes),also subunit A (prokaryotes)"	atpB	3.6.3.14	"Bacterial forms should be designated ATP synthase, F0 subunit A; eukaryotic (chloroplast and mitochondrial) forms should be designated ATP synthase, F0 subunit 6. The F1/F0 ATP synthase is a multisubunit, membrane associated enzyme found in bacteria and mitochondria and chloroplast. This enzyme is principally involved in the synthesis of ATP from ADP and inorganic phosphate by coupling the energy derived from the proton electrochemical gradient across the biological membrane. A brief description of this multisubunit enzyme complex: F1 and F0 represent two major clusters of subunits. Individual subunits in each of these clusters are named differently in prokaryotes and in organelles e.g., mitochondria and chloroplast. The bacterial equivalent of subunit 6 is named subunit A. It has been shown that proton is conducted though this subunit. Typically, deprotonation and reprotonation of the acidic amino acid side-chains are implicated in the process."																								
TIGR03414	103.8482592	4.099705109	0.421021123	9.737528326	2.09E-22	2.37E-19	Transport and binding proteins	"Amino acids, peptides and amines"	ABC_choline_bnd	"choline ABC transporter, periplasmic binding protein"	choX	NA	"Partial phylogenetic profiling (PMID:16930487) vs. the genome property of glycine betaine biosynthesis from choline consistently reveals a member of this ABC transporter periplasmic binding protein as the best match, save for the betaine biosynthesis enzymes themselves. Genomes often carry several paralogs, one encoded together with the permease and ATP-binding components and another encoded next to a choline-sulfatase gene, suggesting that different members of this protein family interact with shared components and give some flexibility in substrate. Of two members from Sinorhizobium meliloti 1021, one designated ChoX has been shown experimentally to bind choline (though not various related compounds such as betaine) and to be required for about 60 % of choline uptake. Members of this protein have an invariant Cys residue near the N-terminus and likely are lipoproteins."																								
TIGR02985	53.69462219	-0.843580612	0.338434879	-2.492593599	0.01268139	0.045205579	NA	NA	Sig70_bacteroi1	"RNA polymerase sigma-70 factor, Bacteroides expansion family 1"	NA	NA	This group of sigma factors are members of the sigma-70 family (TIGR02937) and are found primarily in the genus Bacteroides.																								
TIGR01179	63.97846307	-0.590525131	0.234813985	-2.514863552	0.011907846	0.043511689	Energy metabolism	Sugars	galE	UDP-glucose-4-epimerase GalE	galE	5.1.3.2	"Alternate name: UDPgalactose 4-epimerase This enzyme interconverts UDP-glucose and UDP-galactose. A set of related proteins, some of which are tentatively identified as UDP-glucose-4-epimerase in Thermotoga maritima, Bacillus halodurans, and several archaea, but deeply branched from this set and lacking experimental evidence, are excluded from this HMM and described by a separate model."																								
TIGR02989	76.39075271	-0.631946411	0.423747935	-1.491326231	0.135875865	0.27938244	NA	NA	Sig-70_gvs1	"RNA polymerase sigma-70 factor, Rhodopirellula/Verrucomicrobium family"	NA	NA	"This group of sigma factors are members of the sigma-70 family (TIGR02937) and are abundantly found in the species Rhodopirellula baltica (11), and Verrucomicrobium spinosum (16) and to a lesser extent in Gemmata obscuriglobus (2)."																								
TIGR03709	39.08821705	-0.806509804	0.278073226	-2.900350438	0.003727457	0.017771767	Central intermediary metabolism	Phosphorus compounds	PPK2_rel_1	"polyphosphate:nucleotide phosphotransferase, PPK2 family"	NA	2.7.4.-	"Members of this protein family belong to the polyphosphate kinase 2 (PPK2) family, which is not related in sequence to PPK1. While PPK1 tends to act in the biosynthesis of polyphosphate, or poly(P), members of the PPK2 family tend to use the terminal phosphate of poly(P) to regenerate ATP or GTP from the corresponding nucleoside diphosphate, or ADP from AMP"																								
TIGR02483	48.90598141	-0.783678079	0.283475716	-2.764533375	0.005700428	0.02450752	Energy metabolism	Glycolysis/gluconeogenesis	PFK_mixed	phosphofructokinase	NA	"Members of this family that are characterized, save one, are phosphofructokinases dependent on pyrophosphate (EC 2.7.1.90) rather than ATP (EC 2.7.1.11). The exception is one of three"	"Members of this family that are characterized, save one, are phosphofructokinases dependent on pyrophosphate (EC 2.7.1.90) rather than ATP (EC 2.7.1.11). The exception is one of three"																								
TIGR03417	107.0009277	4.47530024	0.527359236	8.486246061	2.13E-17	4.84E-15	NA	NA	chol_sulfatase	choline-sulfatase	betC	3.1.6.6	NA																								
TIGR03692	51.21204903	0.167481912	0.310560846	0.53928856	0.589687761	0.746038284	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	ATP_dep_HslV	"ATP-dependent protease HslVU, peptidase subunit"	hslV	3.4.25.2	"The ATP-dependent protease HslVU, a complex of hexameric HslU active as a protein-unfolding ATPase and dodecameric HslV, the catalytic threonine protease."																								
TIGR00977	41.59675235	-0.707716034	0.33385939	-2.119802692	0.034022688	0.099525132	Unknown function	General	citramal_synth	citramalate synthase	cimA	2.3.1.182	"This model includes GSU1798 and is now known to represent citramalate synthase. Members are related to 2-isopropylmalate synthases and homocitrate synthases but phylogenetically distinct. The role is isoleucine biosynthesis, the first dedicated step."																								
TIGR00243	54.09474067	-0.031170214	0.234256993	-0.133059906	0.894146003	0.947577697	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	Dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxr	1.1.1.267	"1-deoxy-D-xylulose 5-phosphate is converted to 2-C-methyl-D-erythritol 4-phosphate in the presence of NADPH. It is involved in the synthesis of isopentenyl diphosphate (IPP), a basic building block in isoprenoid, thiamin, and pyridoxal biosynthesis."																								
TIGR03600	61.83618424	-0.302921909	0.294526218	-1.02850575	0.303711987	0.482809359	Mobile and extrachromosomal element functions	Prophage functions	phage_DnaB	"phage replicative helicase, DnaB family, HK022 subfamily"	NA	NA	"Members of this family are phage (or prophage-region) homologs of the bacterial homohexameric replicative helicase DnaB. Some phage may rely on host DnaB, while others encode their own verions. This model describes the largest phage-specific clade among the close homologs of DnaB, but there are, or course, other DnaB homologs from phage that fall outside the scope of this model."																								
TIGR03225	38.57827281	0.493309326	0.382045315	1.291232495	0.19662307	0.358789686	Energy metabolism	Other	benzo_boxB	"benzoyl-CoA oxygenase, B subunit"	boxB	1.14.12.21	"Members of this protein family are BoxB, the B subunit of benzoyl-CoA oxygenase. This oxygen-requiring enzyme acts in an aerobic pathway of benzoate catabolism via coenzyme A ligation."																								
TIGR00433	43.92760293	0.35898733	0.448986432	0.799550509	0.423971271	0.604531901	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	bioB	biotin synthase	bioB	2.8.1.6	Catalyzes the last step of the biotin biosynthesis pathway. All members of the seed alignment are in the immediate gene neighborhood of a bioA gene.																								
TIGR02924	56.9906921	-0.215765301	0.314040834	-0.68706129	0.492044106	0.665707583	Energy metabolism	TCA cycle	ICDH_alpha	isocitrate dehydrogenase	icd	1.1.1.-	This family of mainly alphaproteobacterial enzymes is a member of the isocitrate/isopropylmalate dehydrogenase superfamily described by PF00180.																								
TIGR02071	56.90166323	0.502642091	0.274372939	1.831966716	0.06695638	0.164343954	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	PBP_1b	penicillin-binding protein 1B	mrcB	NA	"Bacterial that synthesize a cell wall of peptidoglycan (murein) generally have several transglycosylases and transpeptidases for the task. This family consists of a particular bifunctional transglycosylase/transpeptidase in E. coli and other Proteobacteria, designated penicillin-binding protein 1B."																								
